Mix Number,Year of Publication,Source,Eff. W/C ratio,RCA Content,NCA Content,NFA Content,Cement Content kg/m^3,RCA Bulk Density kg/m^3,NCA Bulk Density kg/m^3,RCA Agg. Size,NCA Size (mm),RCA Water Absorption [%],NCA Water Absorption [%],Slump mm,Specimen Type [in.],Compressive Strength
478,2013,Butler et al.,0.48,0,207.77,903.33,271,,2670,,20,,1.5,115,4x8 Cylinder,38.9
479,2013,Butler et al.,0.48,180.64,0,802.86,281,2360,,10,,4.7,,115,4x8 Cylinder,38.6
480,2013,Manzi et al.,0.48,0,910,875,350,,2570,,20,,1.2,190,4x8 Cylinder,41.3
481,2013,Manzi et al.,0.48,210,665,875,350,2250,2570,25,20,7,1.2,100,4x8 Cylinder,51.4
482,2013,Manzi et al.,0.48,378.64,735,636.36,350,2250,2570,25,20,7,1.2,210,4x8 Cylinder,44.7
483,2013,Manzi et al.,0.48,446.25,866.25,437.5,350,2250,2570,25,20,7,1.2,130,4x8 Cylinder,41.9
484,2013,Manzi et al.,0.48,647.18,431.45,636.36,350,2250,2570,25,20,7,1.2,200,4x8 Cylinder,45.6
485,2007,Ajdukiewicz and Kliszcczewicz,0.49,0,810,600,300,,2780,,20,,,,6x12 Cylinder,37.7
486,2007,Ajdukiewicz and Kliszcczewicz,0.49,0,510,600,300,,2780,,25,,,,6x12 Cylinder,39.8
487,2007,Ajdukiewicz and Kliszcczewicz,0.49,0,930,600,300,,2565,,16,,,,6x12 Cylinder,40.1
488,2007,Ajdukiewicz and Kliszcczewicz,0.49,570,0,600,300,2270,,16,,,,,6x12 Cylinder,34.6
489,2007,Ajdukiewicz and Kliszcczewicz,0.49,720,0,600,300,2270,,16,,,,,6x12 Cylinder,40.1
490,2007,Ajdukiewicz and Kliszcczewicz,0.49,660,0,600,300,2565,,16,,,,,6x12 Cylinder,35.3
491,2007,Poon et al.,0.49,76.88,307.5,640.63,410,2570,2620,20,20,3.5,1.1,,4x4x4 Cube,45.3
494,2010,Bai and Sun,0.49,361.73,361.73,540.54,400,,,19,19,,,35,,42.3
496,2012,Hoffmann et al.,0.49,1085,0,700,350,2283,,32,,4.2,,,6x12 Cylinder,35.6
498,2013,Thomas et al.,0.49,192.5,0,770,385,2320,,20,,5.3,,,6x12 Cylinder,40
499,2014,Butler et al.,0.49,33.7,0,842.5,337,2410,,19,,7.18,,100,,39.3
502,2014,Thomas et al.1,0.49,192.5,0,770,385,2320,,19,,5.3,,,4x8 Cylinder,53.7
503,2018,Thomas et al. 3,0.49,192.5,0,770,385,2320,,20,,5.3,,19,,53.7
513,2007,Etxeberria et al. 1,0.5,325,0,812.5,325,2430,,25,,4.4,,,6x12 Cylinder,40
514,2007,Etxeberria et al. 2,0.5,487.5,0,650,325,2430,,25,,4.5,,,6x6x6 Cube,38.3
515,2007,Rahal,0.5,0,342,760,380,,2860,,25,,0.7,,4x4x4 Cube,26.7
516,2007,Rahal,0.5,342,0,760,380,2390,,19,,3.47,,,4x4x4 Cube,25.1
517,2008,Kou et al.,0.5,0,382.67,683.33,410,,2620,,20,,1.1,,4x8 Cylinder,54.1
518,2008,Kou et al.,0.5,76.53,306.13,683.33,410,2570,,20,20,3.5,1.1,,4x8 Cylinder,51.7
519,2008,Kou et al.,0.5,191.33,191.33,683.33,410,2570,,20,20,3.5,1.1,,4x8 Cylinder,47.1
520,2008,Kou et al.,0.5,382.67,0,683.33,410,2570,,20,,3.5,,,4x8 Cylinder,43.4
521,2008,Yang et al.,0.5,0,315,700,350,,2600,,20,,1.4,,4x8 Cylinder,39.5
522,2008,Yang et al.,0.5,94.5,220.5,700,350,2530,,25,20,1.9,1.4,,4x8 Cylinder,36.7
523,2008,Yang et al.,0.5,84,196,700,350,2400,,25,32,6.2,1.4,,4x8 Cylinder,32.6
524,2008,Yang et al.,0.5,157.5,157.5,700,350,2530,,25,20,1.9,1.4,,4x8 Cylinder,38
525,2008,Yang et al.,0.5,140,140,700,350,2400,,25,32,6.2,1.4,,4x8 Cylinder,30.4
526,2008,Yang et al.,0.5,280,0,700,350,2530,,25,,1.9,,,4x8 Cylinder,36
527,2008,Yang et al.,0.5,245,0,700,350,2400,,25,,6.2,,,4x8 Cylinder,29.5
528,2010,Choi et al.,0.5,0,274.4,686,343,,2600,,25,,1.63,205,,24.7
529,2010,Choi et al.,0.5,84.38,196.88,686,343,2480,2600,25,25,1.93,1.63,200,,24.6
530,2010,Choi et al.,0.5,144.06,144.06,686,343,2480,2600,25,25,1.93,1.63,195,,24.2
531,2010,Choi et al.,0.5,294.98,0,686,343,2480,2600,25,,,,190,,22.6
532,2010,Corinaldesi,0.5,198,198,660,330,2400,2570,5,30,6.8,3,,4x4x4 Cube,38.1
533,2010,Corinaldesi,0.5,198,198,660,330,2400,2570,22,30,6.8,3,,4x4x4 Cube,39.9
534,2010,Kumutha and Vijai,0.5,0,682,620,372,,2870,,20,,,,4x4x4 Cube,28.3
535,2010,Kumutha and Vijai,0.5,136.4,545.6,620,372,2400,2870,20,20,,,,4x4x4 Cube,27.2
536,2010,Kumutha and Vijai,0.5,183.52,734.08,496,372,2400,2870,20,20,,,,4x4x4 Cube,26.4
